무책임한 보도 난무,Irresponsible reporting is rampant.
판매자의 입장을 대변했어,I represented the seller's position.
비슷하게 세워진 기둥,Similar columns standing in a row.
전화 발신지 추적,Tracing the origin of a call.
형형색색의 문양을 넣었어요,I added patterns of many colors.
폭죽 터지는 소리가 요란했어,The sound of fireworks was loud.
공부할 시간이 줄어들어요,The time to study is decreasing.
시금치를 무쳐 먹었습니다,I ate seasoned spinach.
양팔을 번쩍 쳐들어요,I raise both arms high.
실전에 근사한 군사 훈련,Realistic military training for combat.
서 말 템이나 먹었습니다,I ate as much as three mal.
어린아이가 으앙 울었어요,The child cried waaah.
역량 있는 지도자,A capable leader.
일회용품의 사용을 규제해요,We regulate the use of disposable items.
오래 걸었더니 힘들어,I'm tired because I walked a long time.
전후의 비참을 겪었어,I went through the misery of the postwar period.
자로 쭉쭉 선을 그어요,I draw straight lines with a ruler.
유난히 반짝이는 별빛,Exceptionally sparkling starlight.
온갖 노력을 기울였어,I made every effort.
이왕의 일은 다 잊어버리자,Let's forget everything that's happened.
뇌에 손상을 입습니다,It causes damage to the brain.
보도를 따라 걸었습니다,I walked along the sidewalk.
추측과 다른 결과가 나왔어요,The outcome differed from our guess.
인내로 역경을 극복합니다,We overcome adversity through patience.
감기로 몸이 떨려,My body is shaking from a cold.
석연하지 않은 표정,An uneasy expression.
기자를 사칭한 사기꾼,A con artist posing as a reporter.
익사자 인양 작업,Recovery operations for drowning victims.
그는 몹시 난폭한 사람이에요,He is a very violent person.
줄 간격을 벌려요,I widen the line spacing.
목적지까지 무사히 가,I safely make it to the destination.
지금 당장은 괜찮았어,For the moment it was fine.
괜한 부산을 떨어,I make a needless fuss.
실내에서 조용히 했어요,We stayed quiet indoors.
장관을 지낸 사람,Someone who served as a minister.
그는 빚 때문에 고생을 해요,He suffers because of debt.
친구 아버지 장례식장에 다녀왔어,I went to my friend's father's funeral hall.
예상이 실제와 꼭 맞아떨어져,The prediction matches reality perfectly.
식구들이 밥상에 둘러앉아,The family sits around the table.
비둘기를 평화의 상징으로 삼았어요,They made the dove a symbol of peace.
득점의 기회를 놓쳐,I miss a scoring chance.
싱그러운 꽃 냄새,The fresh scent of flowers.
이달의 선수에 선정돼요,I am selected as player of the month.
부부간에도 동심은 쉽지 않습니다,Even between spouses childlike innocence isn't easy.
온라인 쇼핑 사업자,An online shopping business operator.
너 이따 나 좀 보자,See me a bit later.
형광등이 자주 껌뻑였어요,The fluorescent light flickered often.
근육이 불끈 솟았어,The muscles bulged.
주전자에 물을 끓여,I boil water in the kettle.
철봉에 매달려 턱걸이를 해요,I do pull-ups hanging from the bar.
자태가 아름다운 여인,A woman with a beautiful figure.
강도 행각을 벌입니다,They carry out robberies.
그는 걸핏하면 감정을 앞세웠어,He kept putting his emotions first at the slightest chance.
출산을 앞둔 산모,A pregnant woman about to give birth.
쌀통에 쌀을 담았습니다,I put rice into the rice bin.
강성 일변도의 외교 정책,A uniformly hardline foreign policy.
취기가 어린 말투,a tipsy tone of voice
나는 지금 막 집에 도착해,I just got home.
갓 딴 대추를 제사상에 올려요,I place freshly picked jujubes on the memorial table.
원서 접수가 완료되었습니다,The application submission was completed.
소문이 금세 퍼져요,The rumor spreads quickly.
어지간하면 네가 참아라,If you can you should just put up with it.
제동 거리가 짧습니다,The braking distance is short.
고함 소리가 들려왔어요,Shouting was heard.
홈으로 뛰고 있는 3루 주자,the runner on third base sprinting home
너에게만 비밀을 가르쳐 주마,I'll tell you a secret and only you.
그의 글은 간결하고 명료했어요,His writing was concise and clear.
큰비로 집이 침수돼요,The house gets flooded due to heavy rain.
육촌이면 가까운 친척입니다,A sixth cousin is a close relative.
여야 중진 회담이 성사돼요,A senior ruling-opposition meeting comes together.
주점에 들러 술을 한잔해요,I stop by a bar and have a drink.
남쪽을 향해 섰어요,I stood facing south.
이루어질 수 없는 사랑,a love that can never be fulfilled
부족 국가의 제사장,the priest of a tribal nation
가족의 안위를 돌봤어요,I looked after my family's well-being.
적군을 포로로 사로잡아,I capture enemy soldiers as prisoners.
제발 그 시시한 얘기 관둬라,Please cut out that trivial talk.
땀 흘려 농사짓는 농부,a farmer who toils in the fields
쌀에 콩을 섞어 밥을 지었어요,I cooked rice mixed with beans.
심한 욕은 듣기 거북했습니다,Harsh insults were unpleasant to hear.
시장 경제 체제로의 이행 과정,the transition process to a market economy
실종자의 생존 여부를 확인했습니다,We verified whether the missing person was alive.
남의 단처를 들어 이야기해요,I bring up someone else's flaws to talk.
무슨 꿍꿍이속이 있는 눈치였습니다,It seemed there was some ulterior motive.
성경에서 한 구절을 인용했어,I quoted a verse from the Bible.
동구 앞 정자나무,the zelkova tree in front of the east gate
이마가 두드러진 얼굴,a face with a prominent forehead
돈 낭비가 심했어,The waste of money was severe.
인터넷 서비스 공급자,internet service provider
음식에 식초를 쳤어,I added vinegar to the food.
상담하는 역을 맡습니다,I take the role of counselor.
교통 카드를 충전합니다,I recharge the transit card.
두 팔을 힘차게 내저어,I swing both arms vigorously.
난데없는 아우성 소리,a sudden outcry
아기자기했던 학창 시절,those quaint school days
장거리를 운행하는 화물차,a long-haul freight truck
요번에는 네 차례였습니다,This time it was your turn.
벌에 쐬어 손이 퉁퉁 부어요,My hand swells up from a bee sting.
그의 주관은 뚜렷했습니다,His convictions were clear.
붉은빛이 도는 사과,an apple with a reddish tinge
밥알이 동동 떠요.,Rice grains float on the surface.
깊은 강물에 무모하게 뛰어들어요.,They recklessly jump into the deep river.
합의의 결과가 보입니다.,The result of the agreement is visible.
계급장을 군복에 부착해.,Attach the rank insignia to the uniform.
기꺼이 함께 가 주었습니다.,I gladly went along with them.
목동이 소를 몰고 왔어요.,The shepherd drove the cattle back.
가뭄 피해 지역의 복구,restoration of drought-stricken areas
아기에게 모유를 먹여.,Feed the baby breast milk.
이런 병에는 어떤 약도 소용없어요.,No medicine works for this kind of illness.
일이 없어 한가해요.,I'm idle because there's no work.
식구들이 방을 따로따로 썼어.,The family members used separate rooms.
대학 병원 의료진,the medical staff of a university hospital
그와 대적할 사람이 없었어요.,There was no one to confront him.
말발굽에 징을 박았어.,We nailed studs into the horse's hooves.
초보자치고는 괜찮은 솜씬데?,That's pretty good for a beginner isn't it?
입에 재갈을 물렸어요.,I put a bit in its mouth.
고양이 발톱에 할퀴였어.,I got scratched by a cat's claws.
아무튼 불행 중 다행이었어요.,Anyway it was a blessing in disguise.
외모가 번듯한 기와집들,fine-looking tile-roofed houses
독서 열풍이 일어요.,A reading boom is sweeping through.
묻는 말에 순순히 대답했습니다.,I answered the questions readily.
지구촌 구석구석을 돌아다녔어요.,I traveled all around the world.
식칼로 감자를 썰었어요.,I sliced potatoes with a kitchen knife.
생존 경쟁에서 살아남아.,Survive in the struggle for survival.
술잔에 술을 가득 따라 마셔요.,I pour a full glass and drink it.
이뤄질 수 없는 꿈,an unattainable dream
기차가 연착할 듯합니다.,It looks like the train will be delayed.
오래된 방에 곰팡이가 피어.,Mold grows in the old room.
그는 해외로 도피 여행을 떠났어.,He left overseas to flee.
그는 일을 합리적으로 진행했어요.,He handled the work rationally.
얼굴이 야하게 생겨.,Their face looks suggestive.
방문을 닫고 나와라,Close the door and come out.
유감의 뜻을 표합니다.,I express my regret.
바삐 일손을 놀려.,Keep your hands busy at work.
닥치는 대로 먹었어요.,I ate whatever was in front of me.
그는 지금 교도소에 수감 중이었어.,He was incarcerated in prison at the time.
그는 여전히 성실해요.,He is still diligent.
인공 지능 기술의 활용 사례,use cases of artificial intelligence technology
친구를 적으로 알아.,Mistake a friend for an enemy.
텁텁한 막걸리 맛,the thick rough taste of makgeolli
제방 공사를 완성했어요.,They completed the embankment construction.
일신의 안락을 꾀했어.,He sought his own comfort.
장시간에 걸쳐 토의했습니다.,We discussed it for a long time.
못살게 굴지 마라,Don't be so mean.
진흙 팩을 얼굴에 발랐어.,I applied a mud pack to my face.
일동 차렷. 국기에 대하여 경례!,Attention everyone. Salute the flag!
밉지도 곱지도 않은 얼굴,a face that's neither likable nor hateful
나쁜 습관을 고쳤어요.,I fixed my bad habits.
은행 접수 마감 시간이 다 돼.,The bank application deadline is here.
시내버스 노선의 조정,adjustment of city bus routes
거실에 소파를 놓습니다.,I place a sofa in the living room.
그는 정중히 자기소개를 했습니다.,He politely introduced himself.
서방의 자유 진영,the Western free bloc
공사가 완만하게 진행돼.,The construction proceeds smoothly.
차량 통행을 제한해요.,We restrict vehicle traffic.
비는 사흘 동안 계속됐어요.,The rain continued for three days.
양심의 가책을 받습니다.,I feel pangs of conscience.
어마어마하게 큰 집,an enormous house
법원에 선처를 애원합니다.,I plead for leniency from the court.
손잡이가 달린 컵,a cup with a handle
쌀이 똑 떨어졌어.,We ran out of rice completely.
며칠째 설사가 멈추지 않습니다.,The diarrhea hasn't stopped for days.
다음 단계에 배울 내용은 뭐지?,What will we learn in the next stage?
남의 일에 참견해요.,I meddle in other people's affairs.
그는 도덕에 어긋난 행동을 했습니다.,He committed immoral behavior.
그 집은 형제간에 화합이 잘됐습니다.,In that family the siblings got along well.
축하 파티를 열었어요.,We held a celebration party.
손님을 따 버렸어요.,I turned the customer away.
벌써 10년의 세월이 흘러.,Ten years have already passed.
아 추워. 담요 좀 가져다줘,Ah it's cold. Bring me a blanket.
남에게 밥을 구걸해요.,I beg others for food.
이 모임의 사회를 소개했습니다.,I introduced the MC of this gathering.
이 그림은 아주 우습습니다.,This picture is very funny.
이 고무줄은 신축이 잘돼.,This rubber band stretches well.
나는 요즘 시간이 남아돌아.,I have lots of free time these days.
연료의 배송을 마쳐요.,We finish the fuel delivery.
점심으로 초밥을 먹었습니다.,I ate sushi for lunch.
너 누구한테 반말이야?,Who are you talking to so casually?
수습 딱지를 뗐어요.,I removed the trainee sticker.
신문사에 기자로 취직합니다.,I get a job as a reporter at a newspaper.
한 걸음 성큼 나섰어.,I stepped forward with a big stride.
학자금을 대 줘.,Cover the tuition.
외국에 신사를 파견했어.,We dispatched a gentleman abroad.
회장 후보로 지목된 사람,the person nominated as a chairman candidate
게으른 사람이 성공하는 것 봤어?,Have you seen a lazy person succeed?
우리 집 참외 맛이 꿀맛이었습니다.,The taste of our melons was like honey.
연인 관계를 끝장내.,Put an end to the relationship.
하늘에서 재앙을 내렸어요.,Heaven sent down a disaster.
산사태 우려 지역,a landslide-prone area
꽃병에 꽂혀 있는 붉은 장미,a red rose in a vase
무면허로 운전을 해요.,I drive without a license.
남북 관계의 먹구름,dark clouds over inter-Korean relations
비상사태에 대한 대비,preparations for an emergency
왕릉을 파헤쳐 유물을 도굴해.,Loot relics by digging up the royal tomb.
전몰 군경 유가족,families of soldiers and police killed in action
폐식용유를 재생한 무공해 비누,non-polluting soap made from recycled waste cooking oil
그것과 이것은 별개 문제예요.,That and this are separate issues.
어머 눈이 오네,Oh my it's snowing.
사실 관계 확인을 요청합니다.,I request verification of the facts.
눈앞이 빙빙 돌아요.,Everything spins before my eyes.
물가 오름세가 계속되고 있었습니다.,The rise in prices was continuing.
창사 50주년 기념일,the 50th anniversary of the company's founding
신전에 재산을 정리했어.,I sorted out the property at the temple.
공항에 마중 나가.,I go to the airport to pick someone up.
창가에 커튼이 드리워요.,Curtains drape by the window.
왕의 적자에게 왕권을 물려줘.,I pass the royal authority to the king's legitimate son.
하늘에 별이 무수히 반짝였어.,Countless stars twinkled in the sky.
화초를 안으로 들여와라,Bring the plants inside.
자꾸 흘러내리는 안경,glasses that keep sliding down
침낭을 말아 배낭에 맸어.,I rolled up the sleeping bag and strapped it to the backpack.
곡식이 알차게 여물어요.,The grains ripen fully.
고물 차라 고장이 잦아.,Since it's an old car it breaks down often.
안도의 한숨을 쉬어요.,I breathe a sigh of relief.
두 선수가 맞붙었어.,The two players faced off.
칼바람이 사정없이 몰아쳐요.,The biting wind blows mercilessly.
극히 우수한 학생,an exceptionally outstanding student
왕골로 엮인 돗자리,a mat woven from rush
동시에 일어난 사건,an incident that occurred simultaneously
친구를 집에 불러들여.,I call my friend into the house.
원전에 충실한 번역,a translation faithful to the original
상사에게 사직서를 제출해요.,I submit my resignation to my boss.
고운 목소리를 타고났어요.,I was born with a beautiful voice.
정치 개혁에 부합하는 인물,a figure suited to political reform
성의 노골적 묘사,an explicit depiction of sex
죽을 고비를 겪었어.,I went through a near-death ordeal.
옷이 철조망에 걸려 찢겨요.,My clothes get caught on the barbed wire and tear.
구슬에 파란 빛깔이 감돌았어.,A blue hue shimmered around the beads.
개시니까 싸게 드렸어.,Since it was the opening I gave it to you cheaply.
그 어른의 영식은 건강하신가?,Is that gentleman's son Young-sik in good health?
적군이 우리 부대에 쳐들어왔어요.,Enemy troops attacked our unit.
하찮은 일에 마음을 썼어요.,I worried about trivial matters.
해당 업무를 주관하는 관청,the government office in charge of that task
연소자 입장 불가 영화,a movie off-limits to minors
세련되고 품위 있는 가구,refined and elegant furniture
지정 좌석에 앉으시오,Please sit in your assigned seat.
그의 증언은 모두 거짓이었어.,His testimony was all lies.
문학에 유의한 사람,a person significant to literature
문밖으로 얼굴을 내밀었어요.,I stuck my face out the door.
팔다리 노릇을 했어.,I acted as a lackey.
제자들이 스승에게 존경을 표해.,The disciples show respect to their teacher.
생산 활동의 위축,a contraction of production activity
서류를 세 부 복사해.,I make three copies of the documents.
제국주의의 억압과 수탈,the oppression and exploitation of imperialism
그는 기뻐하는 기색이 확연해요.,He clearly looks pleased.
과학 기술의 진보,the progress of science and technology
칫솔에 치약을 묻혀 이를 닦아요.,I put toothpaste on the toothbrush and brush my teeth.
당사자들에게 화해를 권설합니다.,I recommend reconciliation to the parties involved.
적진을 향해 진격을 개시했어.,I launched an advance toward the enemy camp.
에너지 효율성이 높은 자동차,a car with high energy efficiency
성대한 만찬을 베풀었어.,I hosted a grand banquet.
그때그때 최선을 다해요.,I do my best each time.
돼지가 도살장으로 끌려가.,The pig is dragged to the slaughterhouse.
정돈이 아직 덜 끝나요.,The tidying isn't finished yet.
남의 물건을 탐내지 마라,Don't covet other people's things.
신랑 신부의 행복을 위하여 건배!,A toast to the happiness of the bride and groom!
마을 한복판에 우물이 있었어.,There was a well in the middle of the village.
주택 전파 지원금,a support grant for totally destroyed homes
변호사에게 변호를 의뢰했어.,I asked a lawyer to represent me.
복숭아로 잼을 만들어.,I make jam from peaches.
인공 감미료 첨가,with artificial sweetener added
너 오늘따라 웬 유난이니?,Why are you being so fussy today?
묻는 말에 솔직히 대답해라,Answer the question honestly.
병으로 간이 부었어.,My liver swelled due to illness.
목에 목도리를 합니다.,I wear a scarf around my neck.
재건축 승인을 받아요.,I receive approval for reconstruction.
집게로 빨래를 집어요.,I clip the laundry with clothespins.
아이를 데리러 가.,I go to pick up the child.
권력의 시녀 노릇을 해.,I play the role of a servant to power.
빨랫감을 세탁기에 넣고 돌려.,I put the laundry in the washer and run it.
은메달을 목에 걸었어.,I hung the silver medal around my neck.
사고를 사전에 예방해.,I prevent accidents in advance.
그는 한 달 만에 회견에 응했어.,He agreed to an interview after a month.
군인이 대거 투입된 작전,an operation with massive troop deployment
늙은 신랑 어린 신부,an old groom a young bride
책상에 먼지가 쌓여요.,Dust accumulates on the desk.
거울에 얼굴을 비췄어.,I reflected my face in the mirror.
머리끝을 가지런하게 잘라.,I trim the ends of my hair neatly.
성장 일로에 있는 회사,a company on the path of growth
프로 야구 정규 시즌,the regular season of professional baseball
미심쩍은 낌새가 보입니다.,There are suspicious signs.
호수의 둘레를 쟀어요.,I measured the circumference of the lake.
피나는 수련을 거쳐 득음을 했어요.,After grueling training I attained vocal mastery.
죄 없는 백성을 죽입니다.,I kill innocent people.
수익성이 높은 저축 상품,a high-yield savings product
신이 나서 콧노래가 절로 나왔어요.,I was excited and a hum came out naturally.
코앞에 총을 들이댔어.,I shoved a gun right up close.
나는 아무거나 먹어도 돼,I can eat anything.
나무에 수액이 올랐어.,Sap rose in the tree.
시속 70km의 속력,a speed of 70 km/h
같은 범주에 속해요.,It belongs to the same category.
인간 본연의 모습,the inherent nature of human beings
시험 답안지를 검토했어요.,I reviewed the exam answer sheets.
나는 동생과 사이좋아.,I get along well with my younger sibling.
회장을 만장일치로 선출했어.,We elected the chairperson unanimously.
사회에서 신분적인 불리를 겪었어요.,I suffered status-related disadvantages in society.
풀잎에 이슬이 맺혀요.,Dew forms on the grass.
배추를 소금으로 절였어요.,I salted the cabbage.
간호사가 주사를 놓았어.,The nurse gave an injection.
매달 첫 일요일에 쉬었어요.,I took the first Sunday of every month off.
혼자서 머 먹니?,What are you eating by yourself?
전염병의 확산을 막습니다.,I prevent the spread of infectious diseases.
건물 전형을 찍습니다.,I take a full-view photo of the building.
피고 측 증인을 소환했어.,I summoned a defense witness.
무릎 꿇고 기도합니다.,I pray on my knees.
집에 누구누구 있지?,Who all is at home?
오늘 국회의 본회의가 열렸어요.,The National Assembly plenary session opened today.
학벌을 중시하는 사회적 분위기,a social atmosphere that values academic pedigree
어깨가 왼쪽으로 치우쳤어.,My shoulders tilted to the left.
계약 보증금 청구,a claim for the contract deposit
수억 달러에 이르는 공사비,construction costs amounting to hundreds of millions of dollars
그는 지난 학기의 평점이 낮아요.,His GPA last semester is low.
사찰 건립에 착수했어요.,I started the construction of a temple.
오래전의 일을 기억했어.,I remembered something from long ago.
명나라에 사신으로 갔어.,I went to the Ming dynasty as an envoy.
신정 국사 교과서,a newly revised Korean history textbook
신입 회원을 영입합니다.,I recruit new members.
의문점을 확실하게 밝혔어.,I clarified the questionable points clearly.
추후 자세히 알려 드려요,I will let you know in detail later.
술을 마셔 젖혔어요,I downed the drink.
약수를 뜨러 갔어요,I went to draw mineral water.
수술 도구를 소독합니다,Surgical instruments are sterilized.
전차의 은은한 향기,the subtle aroma of green tea
완주에 소요되는 시간,the time required to complete the course
종족이 한마을에 모여 살았습니다,The tribe lived together in one village.
용돈을 아껴 써라,Use your allowance sparingly.
아름답고 신비로운 이야기,a beautiful and mysterious story
목표 달성을 위해 노력했습니다,I worked to achieve the goal.
두 끝을 맞걸어 맸어요,I tied the two ends together.
청소년들에게 민족의식을 일깨웠어,I awakened a sense of national identity among teenagers.
진상은 소문과 별반 다르지 않았어,The truth was not much different from the rumors.
얼마간 시간의 여유를 주시오,Please give me some time.
누나는 나보다 세 살이 많습니다,My older sister is three years older than me.
손수건을 고이 접어,I fold the handkerchief neatly.
액자를 쪼끔 올려서 걸어라,Hang the frame a little higher.
강물을 가로막아 댐을 만들었어,I blocked the river and built a dam.
장관 명의의 확인서,a certificate in the minister's name
불똥이 사방으로 튀어요,Sparks fly in all directions.
베개를 고쳐 베었어,I adjusted the pillow and laid my head on it.
중세 사회의 해체,the disintegration of medieval society
백두산의 정기를 받았어,I received the spirit of Mount Baekdu.
칼날이 몸에 스쳐,The blade brushes my body.
화재를 미연에 방지해,I prevent fires in advance.
깃발이 천천히 내려졌어,The flag was lowered slowly.
집안일에 무관심한 남편,a husband indifferent to housework
신인 탤런트 선발 대회,a new talent selection contest
예금 잔고를 확인해,I check the account balance.
그는 잠자코 있었습니다,He kept silent.
짝퉁 명품 가방을 샀어,I bought a counterfeit designer bag.
몸의 불편을 무릅쓰고 일을 했어,I worked despite physical discomfort.
머리를 숙여 인사합니다,I bow my head and greet.
국민들에게 대안을 제시했습니다,Alternatives were presented to the people.
무덤 속으로 들어갔어,I went into the grave.
물건을 포장지로 쌌어,I wrapped the item in wrapping paper.
니체는 신이 죽었다고 외쳤어요,Nietzsche shouted that God is dead.
그는 일만큼은 빈틈이 없습니다,He is flawless when it comes to work.
좋은 직장을 붙잡았어,I held on to a good job.
음악회 입장권을 샀어,I bought a concert ticket.
이리저리 핑계를 댔어,I made excuses here and there.
문제를 꼼꼼 생각합니다,I think through the problem carefully.
가시에 찔린 손가락이 따가웠어,The finger pricked by a thorn stung.
담 위로 뛰어올라,I jump up over the wall.
근대와 전근대의 공존,the coexistence of the modern and the premodern
건국의 기초를 튼튼히 다졌어,I firmly laid the foundation of the nation.
세금 면제 대상자를 규정해요,I define those eligible for tax exemption.
상점에 손님이 많아요,There are many customers in the shop.
완두콩을 껍질째 삶았어,I boiled the peas in their pods.
파리가 쉬를 슬습니다,A fly excretes.
이 모임은 위법의 소지가 있습니다,This gathering has the potential to be unlawful.
뚱뚱하게 부어오른 다리,legs swollen and puffy
그는 직장에서 해고되었습니다,He was fired from his job.
이웃 나라와 통상을 시작했습니다,We began trade with a neighboring country.
자동차 산업의 본산,the cradle of the automobile industry
때가 껴 지저분한 옷,clothes filthy with grime
고추냉이를 푼 간장,soy sauce mixed with wasabi
형이 동생에게서 장난감을 뺏어,The older brother snatches a toy from the younger sibling.
폭동이 전국을 휩쓸었어요,The riot swept the entire country.
원혼들의 넋을 건져 줘,I save the souls of the restless dead.
그가 몸담았던 언론계,the media world he belonged to
아이에게 모자를 씌웠어요,I put a hat on the child.
아으 머리가 아파 못 견디겠어,Ah my head hurts so much I cannot stand it.
해물로 요리를 만들었어요,I made a dish with seafood.
부임 절차를 밟아,I go through the appointment procedures.
반달같이 예쁜 송편,pretty songpyeon like a half-moon
경제 성장의 원동력,the driving force of economic growth
사태가 위급에 처해 있습니다,The situation is in a critical state.
예술과 기술의 융합,the convergence of art and technology
고소한 참기름 냄새,the nutty smell of sesame oil
왕이 부지런한 신하를 칭예해,The king commends the diligent subject.
은행에서 대출을 받아요,I get a loan from the bank.
아이에게 껌을 씹혀,I have the child chew gum.
서른 살 남짓 되어 보이는 남자,a man who looks about thirty
헛된 야망을 품어,I harbor vain ambitions.
법안이 의회를 통과했어요,The bill passed the assembly.
아기에게 젖을 먹입니다,I feed the baby milk.
한곳에 오래 머물렀어요,I stayed in one place for a long time.
백설 공주와 일곱 난쟁이,Snow White and the Seven Dwarfs
수돗물 공급을 중단했어요,We stopped the tap water supply.
엉킨 실타래를 풀었습니다,I untangled the tangled ball of thread.
술은 일만 악의 장본이야,Alcohol is the source of countless evils.
이것저것 입어 봐,Try on this and that.
오랜만에 벗을 찾아,I look up a friend after a long time.
난선이 표류해 있었어,The distressed ship was adrift.
기적을 행하는 초능력자,a miracle-working psychic
잘못된 점이 지적됐어,The mistakes were pointed out.
소유와 경영의 분리,the separation of ownership and management
녹두를 물에 불려,I soak the mung beans in water.
공연 티켓의 재판매를 금지했습니다,The resale of concert tickets was banned.
더없이 좋은 사람,a person who couldn't be better
수취인 불명의 우편물,mail with an unknown recipient
막 신는 데는 이 신발이 편합니다,These shoes are comfortable for everyday wear.
위법한 것으로 확인돼,It is confirmed to be illegal.
노사가 단체 협약을 체결했습니다,Labor and management concluded a collective agreement.
용이 불을 뿜습니다,The dragon breathes fire.
남의 물건을 욕심냈어요,I coveted someone else's belongings
이것을 반금으로 팔겠다고 했습니다,I was going to sell this for half price
싸움에서 적에게 승리했어요,We won against the enemy in the fight
시험 문제가 어렵습니다,The exam questions are difficult
옛 추억을 살렸어,I revived old memories
경영진 퇴진 운동을 전개했어,We launched a campaign for management's resignation
엉 넌 누구냐?,Huh who are you?
생선 비린내가 심해요,The fishy smell is strong
고아를 보육원에 수용했어,We took in the orphan at an orphanage
다 너를 위해 하는 말이었습니다,It was all said for you
단풍 구경을 갔어요,I went to see the autumn foliage
대문에 빗장을 가로질렀어요,I put the bar across the front gate
엉덩이를 뭉개며 옮겨 앉아,I scoot over and sit squashing my butt
성질 사나운 사람,a bad-tempered person
머리를 바짝 깎았어,I shaved my head very close
남의 의혹을 샀어,I aroused others' suspicions
공화국의 창출 과정,the process of founding the republic
이웃 마을에 사는 친구,a friend who lives in the neighboring village
동물에게 먹이를 줬어요,I fed the animals
욕조에 물을 받았어,I filled the bathtub with water
고립 상태에 빠졌어요,I fell into isolation
죽음을 각오하고 싸웠어요,I fought prepared to die
끝없이 펼쳐진 초원,an endless grassland
건강이 더욱더 나빠졌어요,My health got even worse
고인의 높은 뜻을 더럽히지 말자,Let's not tarnish the noble will of the deceased.
노여움으로 낯빛이 하얘졌어요,My face turned pale with anger
올해에는 짧은 머리가 유행입니다,Short hair is in fashion this year
강가를 거니는 연인,lovers strolling by the river
옷을 거꾸로 입었어,I wore my clothes inside out
울퉁불퉁 파인 비포장도로,a bumpy rutted unpaved road
이리저리 거리에 뒹구는 낙엽,fallen leaves rolling around the streets
암실에서 화면을 잘라요,I cut the image in the darkroom
관리들의 비위 탄핵,impeachment of officials for corruption
손자가 할아버지 등에 올라타요,The grandson climbs onto his grandfather's back
어린아이들을 내팽개치고 달아나요,I abandon the children and run away
단풍의 아름다움에 반했어,I fell for the beauty of the autumn leaves
