"프린터의 인자 속도","The printer's printing speed"
"오늘의 경제 발전","Today's economic development"
"아래층에 사는 사람","The person who lives downstairs"
"너에게만 비밀을 가르쳐 주마","I'll tell you a secret—just you"
"키만 머쓱하게 큰 사람","Someone who's awkwardly tall"
"혹시 절 모르시겠습니까?","Do you perhaps not recognize me?"
"실전 경험이 많은 노병사","A veteran soldier with lots of combat experience"
"밤사이 별고 없으셨습니까?","Did anything happen overnight?"
"소포 두 꾸러미","Two parcels"
"체육 대회 개막","Opening of the sports festival"
"회사 기밀 유출","Leak of company secrets"
"정치범의 사면 석방","Pardon and release of political prisoners"
"고구마 한 무더기","A pile of sweet potatoes"
"머리 아픈 문제","A headache-inducing problem"
"응접실이 딸린 이 층 방","A second-floor room with a sitting room"
"거짓말을 하면 못써","You mustn't lie"
"생사로 짠 갑사","Armor woven from raw silk"
"도라지 열 뿌리","Ten roots of balloon flower"
"대낮부터 웬 술을 그렇게 마시니?","Why are you drinking so much from the middle of the day?"
"그쪽 일은 어떻게 됐습니까?","How did that matter on your end turn out?"
"노사 간의 갈등","Labor-management conflict"
"따가운 여름 햇살","The scorching summer sun"
"시큼한 땀 냄새","A sour smell of sweat"
"환경 오염의 주범","The main culprit of environmental pollution"
"해발 1,950미터의 한라산","Hallasan at 1,950 meters above sea level"
"잔소리 좀 그만해라","Stop nagging"
"웬일로 여기까지 다 왔니?","What brings you all the way here?"
"동풍이 부는 날","A day when the east wind blows"
"취미 삼아 하는 일","Something done as a hobby"
"물질 만능의 시대","An age of materialism"
"조심이 많은 사람","A very cautious person"
"목표 생산량 돌파","Surpassing the target output"
"시꺼멓게 탄 숯검정","Pitch-black, charred charcoal"
"하늘 같은 황상의 위엄","The august majesty of the emperor"
"그가 몸담았던 언론계","The media world he belonged to"
"야성미가 풍기는 몸짓","A gesture that exudes wildness"
"외계에서 온 사람","A person from another world"
"확신에 찬 목소리","A voice full of conviction"
"국적 불명의 비행기","An aircraft of unknown nationality"
"자연환경에 따른 문화의 차이","Cultural differences shaped by the natural environment"
"장기 기증 운동","The organ donation campaign"
"우리의 전통 가락","Our traditional melodies"
"엄마와 뽀뽀하는 아기","A baby kissing mom"
"오늘 일을 내일로 미루지 말자","Let's not put off today's work until tomorrow"
"시설물 분산 배치","Distributed placement of facilities"
"아래가 퍼진 스커트","A skirt that flares at the bottom"
"진열대 위의 화려한 전시물","A fancy display on the shelf"
"꽃병에 꽂혀 있는 붉은 장미","Red roses arranged in a vase"
"신문에 보도된 사건","An incident reported in the newspaper"
"술이 넘치지 않게 따라라","Pour carefully so it doesn't spill"
"교육 과정 개편","A curriculum overhaul"
"각종 산업의 지역적 분포","The regional distribution of various industries"
"철망 속에 갇힌 원숭이","A monkey trapped behind wire mesh"
"위험한 곳에는 가지 마라","Don't go to dangerous places"
"저것을 좀 보십시오","Please take a look at that"
"선거권 및 피선거권 박탈","Revocation of voting and candidacy rights"
"천하장사 순위 결정전","A tournament to determine the strongest man's rankings"
"미래에 대한 예언","A prophecy about the future"
"생명력이 강한 식물","A hardy, vigorous plant"
"자기력의 반발 현상","The repelling effect of magnetic force"
"어지간하면 네가 참아라","If you can, just hold it in"
"어린이는 나라의 보배","Children are the nation's treasure"
"달걀의 흰자와 노른자","An egg's white and yolk"
"나 지금 정말 졸려","I'm really sleepy right now"
"분홍 갑사 저고리","A pink gauze jeogori"
"오갈 데 없는 깍두기 신세구려","I'm like a homeless cubed radish"
"무슨 애가 그리 걸음이 빠르니?","Why does that kid walk so fast?"
"사업비 집행 계획","A spending plan for project funds"
"외교 관계의 격하","A downgrade of diplomatic relations"
"텁텁한 막걸리 맛","The thick, slightly bland taste of makgeolli"
"겉면을 코팅한 광고지","A flyer with a coated surface"
"껍질이 얇고 바삭한 옛날 통닭","Old‑style whole fried chicken with a thin, crispy skin"
"여물을 씹는 소","A cow chewing fodder"
"음향 조절 장치","An audio control device"
"도시 전경을 찍은 사진","A photo of the cityscape"
"덥고 습한 공기","Hot, humid air"
"정하게 쓴 글씨","Neatly written handwriting"
"남으로 창이 난 집","A house with south‑facing windows"
"시내버스 노선의 조정","Adjustment of city bus routes"
"하자 없는 물건","A defect‑free item"
"남녀 혼성 합창단","A mixed‑gender choir"
"쪽지나 하나 써 보내라","Just write and send a note"
"그까짓 일로 울다니","Crying over something like that"
"사회에서 소외된 계층","A marginalized group in society"
"모두 퇴근한 썰렁한 사무실","An empty office after everyone has gone home"
"비행기의 양쪽 날개","The airplane's wings on both sides"
"암살 미수 사건","An attempted assassination case"
"문화 상품 전시","An exhibition of cultural goods"
"오빠, 엄마가 빨리 들어오래","Oppa, Mom says to come home quickly"
"자연 장애물과 인공 장애물","Natural and man‑made obstacles"
"상가의 즐비한 간판들","Rows of signs lining the shopping district"
"유행에 뒤진 옷차림","An out‑of‑fashion outfit"
"그런 문제쯤은 무시해 버려라","Just ignore problems like that"
"도시와 농촌의 불균형","The imbalance between cities and rural areas"
"속살이 겉으로 내비치는 수영복","A swimsuit that shows a lot of skin"
"정성 어린 선물","A thoughtful gift"
"톡톡 불거진 여드름","Raised, bumpy pimples"
"성질 사나운 사람","A bad‑tempered person"
"황혼에 물들어 가고 있는 하늘","A sky turning with the colors of dusk"
"영한 대역 소설","An English‑Korean bilingual novel"
"폭동이 일어날 기세","On the brink of a riot"
"게살로 만든 어묵","Fish cake made with crab meat"
"○○ 지역 당원 단합 대회","A unity rally for party members in the ○○ area"
"카페인 함유 음료","A caffeinated drink"
"항상 의지가 되는 사람","Someone you can always lean on"
"나무로 된 책상","A wooden desk"
"초등학교 저학년 어린이","A lower‑grade elementary school child"
"가방이 들린 손","A hand holding a bag"
"한료한 휴일 오후","A leisurely holiday afternoon"
"틀리기 쉬운 문제","A problem that's easy to get wrong"
"색소로 노랗게 물들인 단무지","Pickled radish colored yellow with dye"
"논문 작성 요령","Guidelines for writing a thesis"
"우리별 1호 발사","The launch of Our Star 1"
"놀고 싶을 때 실컷 놀아라","When you want to play, play to your heart's content"
"정치 개혁에 부합하는 인물","A figure who fits political reform"
"신경을 자극하는 소리","A sound that grates on the nerves"
"사무실 임대 보증금 오천만 원","An office lease deposit of 50 million won"
"정치 자금의 유입","Inflows of political funds"
"통산 100호 홈런","The 100th career home run"
"여당과 야당의 대립","The clash between the ruling and opposition parties"
"지급 연기 신청","A request to delay payment"
"장래가 유망한 청년","A young person with a promising future"
"이왕 시작했으니 타이트하게 하자","Since we’ve started, let’s do it tightly"
"일은 이제 결정됐으니 두말 말게","The matter is decided now, so no more debate"
"신을 믿어 주소서","Please believe in God"
"차갑게 식은 커피","Coffee gone cold"
"너 나를 모르겠니?","Don't you recognize me?"
"백 원짜리 동전","A 100‑won coin"
"꼬들꼬들한 식감의 벌집","Honeycomb with a firm, springy texture"
"아버지에 대한 반항","Defiance toward one's father"
"금세기 최고의 과학자","The greatest scientist of this century"
"형편없는 위인 같으니라고","What a sorry excuse for a great man"
"분수에 넘치는 사치","Extravagance beyond one's means"
"선거 공약 완수","Fulfillment of election pledges"
"청년이여 야망을 가져라","Young man, be ambitious"
"굴곡이 심한 해안선","A coastline with deep curves and inlets"
"눈보라가 요동치는 겨울 벌판","A winter field roiled by a blizzard"
"물가 인상에 뒤따른 가계의 부담","Household burdens following price hikes"
"넌 다 큰 애가 그렇게 까부니?","You're grown—why are you acting so wild?"
"말은 청산유수로 솔솔 잘하는구나","You sure can talk smoothly, like a flowing river"
"수집된 문헌의 색인과 초록","Indexes and abstracts of collected documents"
"처음 본 희한한 물건","A strange object I’ve never seen before"
"음주 운전 특별 단속","A special crackdown on drunk driving"
"벤젠 검출 보고","A report of benzene detection"
"봉사 활동 참가자 모집","Recruiting volunteers"
"군수와 군민과의 대화","A dialogue between the county chief and residents"
"해외 물품 구매","Purchasing goods from abroad"
"손잡이가 달린 컵","A cup with a handle"
"광활한 삼림 지대","A vast forest region"
"파리 주재 특파원","A correspondent stationed in Paris"
"시민 계급의 성장","The growth of the civic class"
"우리 민족 고유의 전통과 풍습","The traditions and customs unique to our people"
"차분히 앉아 공부 좀 해라","Sit down calmly and study"
"요컨대 당신은 언제 떠날 것이오?","So, when are you leaving?"
"일제의 한반도 강점","Japan’s colonial occupation of the Korean Peninsula"
"화려하고 고운 색깔","Brilliant, beautiful colors"
"시 대항 체육 대회","An intercity athletic meet"
"호박 넝쿨에 달린 애호박","Young zucchinis hanging on pumpkin vines"
"범인이 흉내 낼 수 없는 일","Something a criminal can't imitate"
"통화 가능 지역","An area with call coverage"
"반달같이 예쁜 송편","Half‑moon‑shaped songpyeon"
"음주 운전 단속","Drunk‑driving enforcement"
"사 차선 포장도로","A four‑lane paved road"
"과즙이 많은 배","A juicy pear"
"거센 역사의 격랑","The fierce turbulence of history"
"○○ 은행 광화문 지점","○○ Bank, Gwanghwamun Branch"
"퇴임 기념 논총","A commemorative collection of papers for a retirement"
"신상 기록 카드","A personal record card"
"신랑 신부의 행복을 위하여 건배!","A toast to the happiness of the bride and groom!"
"대학생 동아리 연합","A university club federation"
"가을은 독서의 계절","Autumn is the season for reading"
"너 오늘따라 웬 유난이니?","Why are you being so extra today?"
"특수 학교 교장","A special‑education school principal"
"참기름 한 종지","A small bowl of sesame oil"
"갑옷을 걸친 장군","A general clad in armor"
"법률 무료 상담","Free legal consultation"
"열 살 남짓해 보이는 소년","A boy who looks about ten"
"팔을 나에게 뻗어라","Reach your arm out to me"
"애착이 가는 물건","An item you feel attached to"
"머리에 얹힌 화관","A garland placed on the head"
"의기양양한 승리의 미소","A triumphant smile"
"연습생 출신의 스타","A star who came up as a trainee"
"스무 평 아파트","A 20‑pyeong apartment"
"노기를 띤 얼굴","A face filled with anger"
"객지를 떠다니는 처지","Living a drifting life in a foreign place"
"새벽을 알리는 닭 울음소리","A rooster’s crow announcing dawn"
"광역 개발 권역","A wide‑area development zone"
"전력 수요 급증","A surge in power demand"
"동학군의 수령 전봉준","Jeon Bong‑jun, leader of the Donghak forces"
"우리 예전처럼 친하게 지내자","Let’s be close like we used to be"
"그것은 댁의 사정이오","That’s your situation"
"길가에 구르는 쓰레기들","Trash scattered along the roadside"
"특별히 눈길을 끄는 옷차림","An outfit that especially draws attention"
"한 달 치 임금","A month’s wages"
"연령에 맞는 장난감","Age‑appropriate toys"
"꽃과 나비를 수놓은 치마","A skirt embroidered with flowers and butterflies"
"제게 맘을 좀 주세요","Please give me a little of your heart"
"때가 껴 지저분한 옷","Dirty clothes with grime built up"
"운동화 한 켤레","A pair of sneakers"
"가문을 빛낸 조상","An ancestor who brought honor to the family"
"건축용 철강 구조물","Structural steel for construction"
"수면에 반사되는 불빛","Light reflected on the water’s surface"
"자꾸 흘러내리는 안경","Glasses that keep slipping down"
"고인의 높은 뜻을 더럽히지 말자","Let’s not tarnish the noble will of the deceased"
"문학상 당선 작가","An author who won a literary prize"
"타고난 능력과 소질","Inborn ability and talent"
"맞는 답을 공란에 적어 넣으시오","Write the correct answer in the blank"
"대주주와 소액 주주","Major shareholders and minority shareholders"
"새로운 공법으로 만든 제조품","A manufactured product made with a new process"
"건축 경기의 후퇴","A downturn in the construction market"
"생동감 넘치는 모습","A vivid, lively 모습"
"야자의 잎과 줄기로 만든 공예품","Handicrafts made from palm leaves and stems"
"빨리 완쾌하시기를 빌어요","I hope you recover quickly"
"대미 무역 적자","A trade deficit with the U.S."
"땅속에 사는 두더지","A mole that lives underground"
"아무도 안에 들여보내지 마라","Don’t let anyone in"
"우리나라 인근 해역","Waters near our country"
"현실 도피적 경향","A tendency to escape from reality"
"우표 모으는 취미","A hobby of collecting stamps"
"우리 엄마는 선생님이야","My mom is a teacher"
"앳되고 청순한 얼굴","A youthful, innocent face"
"붉은 고추와 숯으로 얽은 금줄","A sacred straw rope braided with red peppers and charcoal"
"지우개가 달린 연필","A pencil with an eraser"
"교량 복구 작업","Bridge repair work"
"원만한 부부 생활","A harmonious married life"
"강성 일변도의 외교 정책","A hard‑line, one‑track foreign policy"
"먼지 흡입 장치","A dust‑suction device"
"덮개를 씌운 마차","A cart covered with a canopy"
"녹음 상태의 불량","Poor recording quality"
"수십 명의 사람들","Dozens of people"
"요란한 박수 소리","A loud round of applause"
"그동안 댁내 두루 무고하셨습니까?","Have all in your household been well?"
"쉿, 조용히 해라","Shh, be quiet"
"학술지 수록 논문","A paper published in an academic journal"
"동사무소 앞 게시판","The bulletin board in front of the community office"
"친자 관계 해소","termination of a biological parent-child relationship"
"눈에 서투른 남정네","an awkward-looking fellow"
"발색이 자연스러운 제품","a product with natural-looking color"
"유명 선수들에게 열광하는 관중","spectators who go wild for famous athletes"
"기성세대의 권위가 추락하는 시대","an era when the older generation's authority is in decline"
"부동산 시장 침체","a real estate market slump"
"안보 취약 지대","a security-vulnerable area"
"동글동글 귀엽게 생긴 얼굴","a round, cute-looking face"
"입시 제도 개선","reform of the admissions exam system"
"목숨을 건 치열한 싸움","a fierce, life-or-death fight"
"선명한 아침 햇살","clear morning sunlight"
"숯불에서 튀는 불똥","sparks flying from the charcoal fire"
"고등어 세 마리","three mackerel"
"보자기를 꽉꽉 묶어라","tie the wrapping cloth tightly"
"한 달간의 지출 명세","a month-long expense statement"
"차량 이동 통로","a vehicle passageway"
"추모나 찬송을 위한 음악","music for remembrance or praise"
"대대로 손이 귀한 집안","a family line that has long been short of children"
"극명한 시각 차이","a stark difference in viewpoints"
"배짱 있는 사람","a gutsy person"
"과음으로 위가 고장이 났어","My stomach got wrecked from drinking too much"
"재미있게 읽히는 책","a book that's a fun read"
"귓가에 감도는 아름다운 선율","a beautiful melody lingering in the ear"
"힘없고 가난한 자","the powerless and the poor"
"대학 부설 인문학 연구소","a university-affiliated humanities research institute"
"한일 외교 약사","a brief history of Korea-Japan diplomacy"
"고등어 두 마리","two mackerel"
"이상을 향한 열정","passion for ideals"
"미궁에 빠진 사건","a case that has become a mystery"
"석고로 빚어진 마리아상","a plaster-cast statue of Mary"
"학사 및 행정 업무","academic and administrative work"
"세련되고 균형 잡힌 다보탑","the refined, well-balanced Dabotap Pagoda"
"기밀 서류가 보관된 금고","a safe holding confidential documents"
"죄인을 모조리 잡아들여라","arrest all the criminals"
"최고 경영자 회의","a CEO meeting"
"흰색 바탕에 검은색 글씨","black lettering on a white background"
"도시 빈민 집단","an urban poor community"
"전교 학생 회장","the student body president"
"장미꽃 한 다발","a bouquet of roses"
"엄격 지휘 체계","a strict chain of command"
"뿔 달린 도깨비","a horned dokkaebi"
"성장기가 짧은 식물","a plant with a short growing season"
"네모 모양의 상","a square-shaped statue"
"그거 좀 가져와 봐","Bring that over"
"현란하게 빛나는 별","a dazzlingly shining star"
"대응 관계를 이루는 어구","phrases that stand in a corresponding relation"
"의자를 앞당겨 앉아라","Pull the chair forward and sit"
"남북한의 서신 왕래","an exchange of letters between North and South Korea"
"남북의 대치 상태","the standoff between North and South"
"평일과 다른 분위기","an atmosphere different from weekdays"
"근래에 보기 드문 일","a rare sight in recent times"
"자극적인 가스 냄새","a pungent gas smell"
"줄거리의 매끄러운 연결","the smooth flow of the plot"
"공장과 사무의 자동화","automation of factories and office work"
"아이에게 선택을 강요하지 마라","Don't force a choice on the child"
"솜털이 보송보송한 앳된 얼굴","a youthful face with soft, downy fuzz"
"궐자가 뭔데 상관이야","Who cares who that guy is?"
"대회 날짜 개정","revision of the competition date"
"언덕 위의 저제","a mansion on the hill"
"아파트 입주 신청","an apartment move-in application"
"사람의 심리란 참 묘한 거야","The human mind is a strange thing"
"큰길에서 공 차고 놀지 마라","Don't play ball in the main road"
"이마가 두드러진 얼굴","a face with a prominent forehead"
"균형 있는 발전","balanced development"
"지금부터 한 시간 동안만 놀자","Let's play for just one hour from now"
"컴퓨터에 기억된 프로그램","a program stored in the computer"
"세계 일주 여행","a trip around the world"
"문화 유적 훼손 실태","the state of damage to cultural heritage sites"
"물을 뿜는 분수","a fountain that sprays water"
"튀김을 바삭하게 튀기는 방법","how to fry food until crispy"
"흥분이 가라앉은 조용한 마음","a quiet mind after the excitement dies down"
"고국을 향한 그리움","longing for one's homeland"
"오늘의 특별한 요리","today's special dish"
"무슨 연유로 이제야 도착했지?","What took you so long to get here?"
"한 가닥의 희망","a glimmer of hope"
"반박의 여지가 없는 완벽한 논리","flawless logic with no room for rebuttal"
"대여섯 살쯤 먹어 보이는 아이","a child who looks about five or six"
"유목 생활에서 유래한 신앙","a faith derived from nomadic life"
"돛 세 활을 단 배","a ship fitted with three sails"
"외교관 납치 사건","the diplomat kidnapping case"
"청계천 다리 밑","under a Cheonggyecheon bridge"
"안장을 갖춘 말","a saddled horse"
"돈만 있으면 대수인가?","Is money all that matters?"
"자네 부친께서는 안녕하신가?","Is your father well?"
"최종 메달 집계","the final medal tally"
"투철한 공복 의식","a strong sense of public service"
"수취인 불명의 우편물","mail with an unknown addressee"
"교도소에 수감되어 있는 죄수","a prisoner incarcerated in a correctional facility"
"자동차 산업의 본산","the hub of the auto industry"
"배속을 받은 인원","personnel assigned to a unit"
"길을 잃고 울먹이는 아이","a child who got lost and is sniffling"
"불현듯 뇌리를 스치는 상념","a thought that suddenly flashes through the mind"
"무럭무럭 크는 아이들","children growing fast"
"달에 착륙한 우주선","a spacecraft that landed on the moon"
"비밀 정보의 보안","security for classified information"
"학교 창립 30주년 기념식","the school's 30th anniversary ceremony"
"아뇨, 그럴 리가 없어요","No, that's not possible"
"금빛 찬란한 왕관","a brilliantly golden crown"
"무분별한 국토 개발","reckless land development"
"가정에 대한 남편의 무관심","the husband's indifference to the family"
"방송국 연말 시상식","the broadcaster's year-end awards ceremony"
"독성이 강한 물질","a highly toxic substance"
"여물을 되새기고 있는 소","a cow chewing its cud"
"석 달 템이나 걸리다니","It took nearly three months"
"울퉁불퉁 파인 비포장도로","a bumpy, rutted dirt road"
"여권 발급 기관","the passport-issuing agency"
"수심에 찬 얼굴","a face full of worry"
"로마 제국의 멸망","the fall of the Roman Empire"
"요즘 근황이 어떠십니까?","How have you been lately?"
"평균적 발달 속도","an average rate of development"
"갈비탕 한 그릇","a bowl of galbitang"
"인쇄 기술의 발달","the development of printing technology"
"사대부 집 자손","descendants of a yangban family"
"생크림을 씌운 맛있는 케이크","a delicious cake topped with whipped cream"
"과학 기술의 진보","advances in science and technology"
"흰색 수컷 호랑이","a white male tiger"
"보석이 박힌 왕관","a jewel-studded crown"
"장래가 촉망되는 인물","a person with a promising future"
"나직하게 떠 있는 구름","low-floating clouds"
"국내외로 알려진 인물","a person known at home and abroad"
"도착 예정 시각","the scheduled arrival time"
"육체적 쾌락만을 추구하는 세태","a social climate that pursues only physical pleasure"
"바닥에 들붙은 껌","gum stuck to the floor"
"학벌을 중시하는 사회적 분위기","a social climate that values academic pedigree"
"속이 음침한 사람","a sinister person"
"동해에 솟아오르는 해","the sun rising over the East Sea"
"사람들이 왜 저리하느냐?","Why are people acting like that?"
"굳게 맞물린 입술","tightly pressed lips"
"마계를 지키는 귀신","a ghost guarding the demon realm"
"차원이 낮은 영화","a low-brow movie"
"당황스러운 상황에 대처하는 방법","how to deal with an awkward situation"
"소화 기관 계통","the digestive system"
"금이 삐뚤어지지 않게 족 그어라","Score the line so it doesn't go crooked"
"윤기가 흐르는 머리","glossy hair"
"폭음을 내며 질주하는 오토바이","a motorcycle racing by with a loud roar"
"윤리에 어긋나는 행위","an unethical act"
"서방의 자유 진영","the Western free bloc"
"선사 시대의 유적","prehistoric ruins"
"독자들의 한결같은 반응","readers' consistent reaction"
"착 달라붙는 바지","skin-tight pants"
"검색어 순위 10위","10th in the search-term rankings"
"가수 못지아니한 노래 실력","singing skills on par with a professional singer"
"유행이 지난 옷","out-of-fashion clothes"
"인기리에 방영되고 있는 연속극","a hugely popular TV drama currently airing"
"초속 8m의 서북풍","a northwest wind at 8 m/s"
"은하수를 건너는 조각배","a small boat crossing the Milky Way"
"매력 있는 사람","an attractive person"
"공부를 방해하지 마라","Don't disrupt studying"
"음산한 초겨울 날씨","gloomy early-winter weather"
"쟤는 덩치는 큰데 의외로 소심해","That guy's big but surprisingly timid"
"민족 반역 행위","an act of national betrayal"
"장애인 편의 시설","facilities for people with disabilities"
"면밀한 검토 후에 결론을 내리자","Let's reach a conclusion after careful review"
"쓰러져 가는 고옥","a crumbling old house"
"로마 제국의 몰락","the decline of the Roman Empire"
"이제 어지간히 해라","That's enough now"
